Series Name,Series Code,Country Name,Country Code,2016 [YR2016]
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Afghanistan,AFG,2.26031420130452
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Africa Eastern and Southern,AFE,2.00453888970141
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Africa Western and Central,AFW,-0.00199453228655955
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Albania,ALB,3.31480475341897
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Algeria,DZA,3.20000000006691
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,American Samoa,ASM,-1.67938931297709
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Andorra,AND,3.70967806978986
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Angola,AGO,-2.58004964404932
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Antigua and Barbuda,ATG,5.49778845610642
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Arab World,ARB,3.38584154568807
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Argentina,ARG,-2.08032784377811
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Armenia,ARM,0.199999999825991
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Aruba,ABW,2.09999958566985
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Australia,AUS,2.7706521973025
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Austria,AUT,1.98943716230463
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Azerbaijan,AZE,-3.06359845351251
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,"Bahamas, The",BHS,1.44403648889057
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Bahrain,BHR,3.55812811897778
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Bangladesh,BGD,7.11347821327269
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Barbados,BRB,2.47869868319133
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Belarus,BLR,-2.52644643552364
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Belgium,BEL,1.26668640902095
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Belize,BLZ,-0.0320105570477551
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Benin,BEN,3.33967342629693
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Bermuda,BMU,-0.657206304259205
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Bhutan,BTN,8.1270335383894
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Bolivia,BOL,4.26392086382113
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Bosnia and Herzegovina,BIH,3.14980691561182
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Botswana,BWA,4.30376744802675
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Brazil,BRA,-3.27591690782192
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,British Virgin Islands,VGB,..
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Brunei Darussalam,BRN,-2.47791771833224
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Bulgaria,BGR,3.82043453021177
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Burkina Faso,BFA,5.95797670754024
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Burundi,BDI,-0.600020000546493
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Cabo Verde,CPV,4.70579150927118
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Cambodia,KHM,6.93906060440585
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Cameroon,CMR,4.64848155096476
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Canada,CAN,1.00139441390405
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Caribbean small states,CSS,-1.0444825807005
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Cayman Islands,CYM,3.23997688772937
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Central African Republic,CAF,4.75031684122342
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Central Europe and the Baltics,CEB,3.09034420992613
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Chad,TCD,-6.25552708545281
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Channel Islands,CHI,..
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Chile,CHL,1.71108928865995
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,China,CHN,6.84876220503246
